"code_video","viewcount","likecount","channelsubscribercount","channelvideocount","commentcount","dislikecount"
"TscVj5CoZ3Q",311284.900000000000,2031.5000000000000000,511767.700000000000,58648.500000000000,1888.1000000000000000,2259.5000000000000000
"BrBvFTpJpVs",6154.3333333333333333,33.3333333333333333,513859.833333333333,58698.500000000000,65.0000000000000000,6.0000000000000000
"UR00sWBgZm4",4624.3421052631578947,89.0789473684210526,778247.827067669173,43739.323308270677,152.6992481203007519,43.9135338345864662
"6dPo0jmeGZc",11284.522678185745,21.9200863930885529,751142.958963282937,113067.799136069114,0E-20,8.8142548596112311
"E9B-KbJowC8",60231.180000000000,1636.1975000000000000,3528241.805000000000,31379.290000000000,365.2575000000000000,89.1500000000000000
"JCtVzCKp5VE",17216.472573839662,117.9599156118143460,504130.822784810127,58483.436708860759,39.4915611814345992,18.8143459915611814
"99hJ7MotlyI",30909.650000000000,159.1452380952380952,143404.878571428571,28125.635714285714,282.8880952380952381,323.8547619047619048
"0QF2mn2p0no",375.6666666666666667,6.0000000000000000,758735.166666666667,113316.500000000000,0E-20,14.0000000000000000
"hm0nJUvGsnY",4208.0502008032128514,62.3052208835341365,502602.086345381526,58455.285140562249,51.0321285140562249,6.4016064257028112
"Qc4BKSCJTew",4570.6287553648068670,115.5836909871244635,782925.182403433476,43880.869098712446,50.9484978540772532,7.5085836909871245
"rBzcB8Sov1M",8444.0224719101123596,102.5438202247191011,501747.788764044944,58439.937078651685,190.2898876404494382,77.9842696629213483
"I4U9r3nZwYQ",1093.1666666666666667,24.0000000000000000,149346.833333333333,28559.000000000000,56.0000000000000000,5.0000000000000000
"Tn6sOyOyzKU",999.5521472392638037,48.1165644171779141,145957.426380368098,28321.358895705521,13.6134969325153374,2.9877300613496933
"ddqDRKB5zqk",1308.5444191343963554,14.7835990888382688,751787.489749430524,113086.134396355353,0E-20,36.2733485193621868
"V5WUA_NDF1g",225.4228723404255319,11.5957446808510638,145803.734042553191,28312.494680851064,1.00000000000000000000,0E-20
"io0OzaX4Mgg",487.0000000000000000,7.0000000000000000,513859.833333333333,58698.500000000000,3.0000000000000000,3.0000000000000000
